max.pop	max.age	min.rep	max.rep	fertility	survival.time
20	80	20	40	0.2	964
24	80	20	40	0.2	479
28	80	20	40	0.2	1103
32	80	20	40	0.2	749
4	80	20	40	0.2	66
8	80	20	40	0.2	150
12	80	20	40	0.2	79
16	80	20	40	0.2	418
20	80	20	40	0.2	2048
24	80	20	40	0.2	3378
28	80	20	40	0.2	1615
32	80	20	40	0.2	2028
4	80	20	40	0.2	75
8	80	20	40	0.2	265
12	80	20	40	0.2	254
16	80	20	40	0.2	432
20	80	20	40	0.2	1050
24	80	20	40	0.2	1236
28	80	20	40	0.2	991
32	80	20	40	0.2	824
4	80	20	40	0.2	64
8	80	20	40	0.2	215
12	80	20	40	0.2	319
16	80	20	40	0.2	102
20	80	20	40	0.2	443
24	80	20	40	0.2	2417
28	80	20	40	0.2	3748
32	80	20	40	0.2	5767
4	80	20	40	0.2	60
8	80	20	40	0.2	77
12	80	20	40	0.2	240
16	80	20	40	0.2	128
20	80	20	40	0.2	179
24	80	20	40	0.2	747
28	80	20	40	0.2	1707
32	80	20	40	0.2	1260
4	80	20	40	0.2	44
8	80	20	40	0.2	78
12	80	20	40	0.2	333
16	80	20	40	0.2	276
20	80	20	40	0.2	487
24	80	20	40	0.2	331
28	80	20	40	0.2	1759
32	80	20	40	0.2	659
4	80	20	40	0.2	68
8	80	20	40	0.2	149
12	80	20	40	0.2	249
16	80	20	40	0.2	119
20	80	20	40	0.2	587
24	80	20	40	0.2	1325
28	80	20	40	0.2	96
32	80	20	40	0.2	4773
4	80	20	40	0.2	48
8	80	20	40	0.2	238
12	80	20	40	0.2	248
16	80	20	40	0.2	483
20	80	20	40	0.2	991
24	80	20	40	0.2	1243
28	80	20	40	0.2	2212
32	80	20	40	0.2	1482
4	80	20	40	0.2	50
8	80	20	40	0.2	92
12	80	20	40	0.2	322
16	80	20	40	0.2	94
20	80	20	40	0.2	873
24	80	20	40	0.2	2760
28	80	20	40	0.2	324
32	80	20	40	0.2	1610
4	80	20	40	0.2	68
8	80	20	40	0.2	279
12	80	20	40	0.2	77
16	80	20	40	0.2	197
20	80	20	40	0.2	703
24	80	20	40	0.2	1390
28	80	20	40	0.2	1588
32	80	20	40	0.2	1398
4	80	20	40	0.2	34
8	80	20	40	0.2	76
12	80	20	40	0.2	174
16	80	20	40	0.2	264
20	80	20	40	0.2	619
24	80	20	40	0.2	2373
28	80	20	40	0.2	6287
32	80	20	40	0.2	5660
4	80	20	40	0.2	75
8	80	20	40	0.2	93
12	80	20	40	0.2	437
16	80	20	40	0.2	183
20	80	20	40	0.2	623
24	80	20	40	0.2	488
28	80	20	40	0.2	884
32	80	20	40	0.2	5939
4	80	20	40	0.2	65
8	80	20	40	0.2	66
12	80	20	40	0.2	278
16	80	20	40	0.2	267
20	80	20	40	0.2	196
24	80	20	40	0.2	591
28	80	20	40	0.2	450
32	80	20	40	0.2	4086
4	80	20	40	0.2	24
8	80	20	40	0.2	116
12	80	20	40	0.2	219
16	80	20	40	0.2	95
20	80	20	40	0.2	365
24	80	20	40	0.2	479
28	80	20	40	0.2	483
32	80	20	40	0.2	4754
4	80	20	40	0.2	97
8	80	20	40	0.2	75
12	80	20	40	0.2	473
16	80	20	40	0.2	1079
20	80	20	40	0.2	2001
24	80	20	40	0.2	572
28	80	20	40	0.2	505
32	80	20	40	0.2	3890
4	80	20	40	0.2	112
8	80	20	40	0.2	98
12	80	20	40	0.2	512
16	80	20	40	0.2	381
20	80	20	40	0.2	224
24	80	20	40	0.2	385
28	80	20	40	0.2	1519
32	80	20	40	0.2	5606
4	80	20	40	0.2	105
